"id","timestamp","facebook_event","title","description","location","moderators","panelists"
1,1260342000,0,"Welcome Breakfast Buffet","sponsored by  Cabinet Cotty Vivant Marchisio & Lauzeral and coffee by Nespresso","Plenary Room","",""
2,1260347400,0,"Opening remarks - Geraldine & Loic Le Meur, LeWeb Founders","","Plenary Room","",""
3,1260348300,0,"Fireside chat with Jack Dorsey, Inventor, Founder & Chairman, Twitter & Loic Le Meur, Founder, Le Web","","Plenary Room","",""
4,1260349500,0,"Fireside Chat with  Jean-Philippe Courtois, President, Microsoft International, Microsoft Corporation & Loic Le Meur, Founder, Le Web","","Plenary Room","",""
5,1260351000,0,"Iphone apps contest presentation","Ouriel Ohayon, Co- founder, Appsfire.com and Topify","Plenary Room","",""
6,1260351600,0,"Mobile  Apps Roundtable","","Plenary Room","Jeff Clavier, Founder & Managing Partner, SoftTech VC","Andrew Fisher, CEO, Shazam Entertainment<br>Andrew Lacy, Co-Founder & COO, Tapulous<br>Shervin Pishevar, Founder & CEO, Social Gaming Network, SGN<br>Christophe Francois, Vice President Mobile Multimedia,  Orange"
7,1260354000,1,"Ethan Beard, Director, Facebook Developer Network, Facebook","","Plenary Room","",""
8,1260355200,0,"Ryan Sarver, Director of Platform, Twitter","","Plenary Room","",""
9,1260356400,0,"Mike Jones, COO, MySpace","","Plenary Room","",""
10,1260357600,1,"Platform Roundtable","","Plenary Room","Michael Arrington, Editor, TechCrunch","Ethan Beard, Director, Facebook Developer Network, Facebook<br>Cristian Cussen, Director of Business Development, Ning<br>Kevin Eyres, Managing Director, Europe, LinkedIn<br>John Ham, Co-founder & CEO, Ustream<br>David Jacobs, Vice President, SixApart, Inc.<br>Mike Jones, COO, MySpace<br>Ryan Sarver, Director of Platform, Twitter"
11,1260365400,0,"Fireside Chat with Patrice Lamothe, CEO, Pearltrees & Robert Scoble American blogger, technical evangelist, and author, Rackspace","","Plenary Room","",""
12,1260366000,0,"Special announcement by Christophe Francois, Vice President Mobile Multimedia,  Orange","","Plenary Room","",""
13,1260366300,0,"Chris Pirillo, Founder, Lockergnome","","Plenary Room","",""
14,1260367500,0,"Niklas Zennstrom, Partner, Atomico Ventures","","Plenary Room","",""
15,1260368700,0,"Fireside Chat with Chad Hurley, Co-Founder & CEO, YouTube & Loic Le Meur, Founder, Le Web","","Plenary Room","",""
